class	MIXS ID	Expected value	Frequency
human-oral	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
human-skin	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
human-vaginal	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
microbial mat/biofilm	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
miscellaneous natural or artificial environment	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
plant-associated	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
sediment	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
wastewater/sludge	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
water	MIXS:0000754	perturbation type name;perturbation interval and duration	0.8888888888888888
agriculture	MIXS:0000754	perturbation type name;time interval	0.1111111111111111
symbiont-associated	MIXS:0000754	perturbation type name;time interval	0.1111111111111111
agriculture	MIXS:0000755	location name	0.85
air	MIXS:0000755	location name	0.85
host-associated	MIXS:0000755	location name	0.85
human-associated	MIXS:0000755	location name	0.85
human-gut	MIXS:0000755	location name	0.85
human-oral	MIXS:0000755	location name	0.85
human-skin	MIXS:0000755	location name	0.85
human-vaginal	MIXS:0000755	location name	0.85
hydrocarbon resources-cores	MIXS:0000755	location name	0.85
hydrocarbon resources-fluids/swabs	MIXS:0000755	location name	0.85
microbial mat/biofilm	MIXS:0000755	location name	0.85
miscellaneous natural or artificial environment	MIXS:0000755	location name	0.85
plant-associated	MIXS:0000755	location name	0.85
sediment	MIXS:0000755	location name	0.85
symbiont-associated	MIXS:0000755	location name	0.85
wastewater/sludge	MIXS:0000755	location name	0.85
water	MIXS:0000755	location name	0.85
food-animal and animal feed	MIXS:0000755	text	0.15
food-food production facility	MIXS:0000755	text	0.15
food-human foods	MIXS:0000755	text	0.15
food-farm environment	MIXS:0000757	cardinal wind direction or azimuth degrees	0.5
air	MIXS:0000757	wind direction name	0.5
built environment	MIXS:0000829	NCIT:C94729	0.3333333333333333
agriculture	MIXS:0000829	autumn [NCIT:C94733], spring [NCIT:C94731], summer [NCIT:C94732], winter [NCIT:C94730]	0.6666666666666666
food-farm environment	MIXS:0000829	autumn [NCIT:C94733], spring [NCIT:C94731], summer [NCIT:C94732], winter [NCIT:C94730]	0.6666666666666666
food-farm environment	MIXS:0000859	PMID, DOI, or URL	0.5
food-food production facility	MIXS:0000859	PMID, DOI, or URL	0.5
food-human foods	MIXS:0000859	PMID, DOI, or URL	0.5
agriculture	MIXS:0000859	PMID,DOI,url or free text	0.5
host-associated	MIXS:0000859	PMID,DOI,url or free text	0.5
plant-associated	MIXS:0000859	PMID,DOI,url or free text	0.5
host-associated	MIXS:0000861	unique identifier	0.8571428571428571
human-associated	MIXS:0000861	unique identifier	0.8571428571428571
human-gut	MIXS:0000861	unique identifier	0.8571428571428571
human-oral	MIXS:0000861	unique identifier	0.8571428571428571
human-skin	MIXS:0000861	unique identifier	0.8571428571428571
human-vaginal	MIXS:0000861	unique identifier	0.8571428571428571
symbiont-associated	MIXS:0000861	unique identifier of the symbiotic organism (host of the samples)	0.14285714285714285
host-associated	MIXS:0000866	free text	0.5
symbiont-associated	MIXS:0000866	original symbiotic organism (host of the samples) body habitat where the sample was obtained from; free text	0.5
host-associated	MIXS:0000867	FMA or UBERON	0.8571428571428571
human-associated	MIXS:0000867	FMA or UBERON	0.8571428571428571
human-gut	MIXS:0000867	FMA or UBERON	0.8571428571428571
human-oral	MIXS:0000867	FMA or UBERON	0.8571428571428571
human-skin	MIXS:0000867	FMA or UBERON	0.8571428571428571
human-vaginal	MIXS:0000867	FMA or UBERON	0.8571428571428571
symbiont-associated	MIXS:0000867	body site of the symbiotic organism (host of the samples) where the samples was obtained from; FMA or UBERON	0.14285714285714285
host-associated	MIXS:0000870	content;duration	0.5
human-associated	MIXS:0000870	content;duration	0.5
human-oral	MIXS:0000870	content;duration	0.5
human-gut	MIXS:0000870	content;time interval	0.5
human-skin	MIXS:0000870	content;time interval	0.5
human-vaginal	MIXS:0000870	content;time interval	0.5
symbiont-associated	MIXS:0000871	Literature reference giving growth conditions of the symbiotic organism (host of the samples); PMID,DOI,url or free text	0.5
host-associated	MIXS:0000871	PMID,DOI,url or free text	0.5
symbiont-associated	MIXS:0000872	Relationships to other symbiotic organisms (host od samples) in the same study; relationship type;arbitrary identifier	0.14285714285714285
host-associated	MIXS:0000872	relationship type;arbitrary identifier	0.8571428571428571
human-associated	MIXS:0000872	relationship type;arbitrary identifier	0.8571428571428571
human-gut	MIXS:0000872	relationship type;arbitrary identifier	0.8571428571428571
human-oral	MIXS:0000872	relationship type;arbitrary identifier	0.8571428571428571
human-skin	MIXS:0000872	relationship type;arbitrary identifier	0.8571428571428571
human-vaginal	MIXS:0000872	relationship type;arbitrary identifier	0.8571428571428571
agriculture	MIXS:0000874	PATO	0.1
food-farm environment	MIXS:0000874	PATO or HP	0.8
host-associated	MIXS:0000874	PATO or HP	0.8
human-associated	MIXS:0000874	PATO or HP	0.8
human-gut	MIXS:0000874	PATO or HP	0.8
human-oral	MIXS:0000874	PATO or HP	0.8
human-skin	MIXS:0000874	PATO or HP	0.8
human-vaginal	MIXS:0000874	PATO or HP	0.8
plant-associated	MIXS:0000874	PATO or HP	0.8
symbiont-associated	MIXS:0000874	symbiotic organism (host of the samples) specific phenotype ontology terms; OBA or PTO or free text	0.1
symbiont-associated	MIXS:0000875	gravidity status of the symbiotic organism (host of the samples);timestamp	0.5
host-associated	MIXS:0000875	gravidity status;timestamp	0.5
agriculture	MIXS:0001040	climate name;treatment duration;interval;experimental duration	0.5
plant-associated	MIXS:0001040	climate name;treatment interval and duration	0.5
agriculture	MIXS:0001056	measurement value;treatment duration;interval;experimental duration	0.5
plant-associated	MIXS:0001056	measurement value;treatment interval and duration	0.5
agriculture	MIXS:0001068	seasonal environment name;treatment duration;interval;experimental duration	0.5
plant-associated	MIXS:0001068	seasonal environment name;treatment interval and duration	0.5
agriculture	MIXS:0001069	standing water type;treatment duration;interval;experimental duration	0.5
plant-associated	MIXS:0001069	standing water type;treatment interval and duration	0.5
food-animal and animal feed	MIXS:0001113	EOL:0001757	0.5
food-farm environment	MIXS:0001113	EOL_0001757	0.5
food-farm environment	MIXS:0001123	AGRO:00000416	0.5
agriculture	MIXS:0001123		0.5
food-farm environment	MIXS:0001124	text or commercial name of sanitizer or class of sanitizer or active ingredient in sanitizer	0.5
agriculture	MIXS:0001124		0.5
food-farm environment	MIXS:0001133	free text	0.5
agriculture	MIXS:0001133		0.5
agriculture	MIXS:0001145	library preparation kit	0.2
food-animal and animal feed	MIXS:0001145	name of library preparation kit	0.8
food-farm environment	MIXS:0001145	name of library preparation kit	0.8
food-food production facility	MIXS:0001145	name of library preparation kit	0.8
food-human foods	MIXS:0001145	name of library preparation kit	0.8
food-farm environment	MIXS:0001152	Institution	0.75
food-food production facility	MIXS:0001152	Institution	0.75
food-human foods	MIXS:0001152	Institution	0.75
food-animal and animal feed	MIXS:0001152	institution	0.25
food-animal and animal feed	MIXS:0001153	text	0.8
food-farm environment	MIXS:0001153	text	0.8
food-food production facility	MIXS:0001153	text	0.8
food-human foods	MIXS:0001153	text	0.8
agriculture	MIXS:0001153		0.2
food-animal and animal feed	MIXS:0001154	GENEPIO:0001237	0.75
food-farm environment	MIXS:0001154	GENEPIO:0001237	0.75
food-human foods	MIXS:0001154	GENEPIO:0001237	0.75
food-food production facility	MIXS:0001154	OBI:0100051	0.25
food-animal and animal feed	MIXS:0001181	date and time	0.8
food-farm environment	MIXS:0001181	date and time	0.8
food-food production facility	MIXS:0001181	date and time	0.8
food-human foods	MIXS:0001181	date and time	0.8
agriculture	MIXS:0001181	free text	0.2
food-animal and animal feed	MIXS:0001184	FOODON:00001002 or FOODON:03309997	0.8
food-farm environment	MIXS:0001184	FOODON:00001002 or FOODON:03309997	0.8
food-food production facility	MIXS:0001184	FOODON:00001002 or FOODON:03309997	0.8
food-human foods	MIXS:0001184	FOODON:00001002 or FOODON:03309997	0.8
agriculture	MIXS:0001184		0.2
food-animal and animal feed	MIXS:0001203	country: region, specific location	0.6666666666666666
food-food production facility	MIXS:0001203	country: region, specific location	0.6666666666666666
food-human foods	MIXS:0001203	country: region, specific location (city)	0.3333333333333333
