class	MIXS ID	Definition	Frequency
migs_ba	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
migs_eu	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
migs_org	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
migs_pl	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
migs_vi	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
mimag	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
mimarks_c	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
mimarks_s	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
mims	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
misag	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
miuvig	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample	0.75
food-animal and animal feed	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample.	0.25
food-farm environment	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample.	0.25
food-food production facility	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample.	0.25
food-human foods	MIXS:0000037	A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample.	0.25
agriculture	MIXS:0000091	A related resource that is referenced, cited, or otherwise associated to the sequence.	0.08333333333333333
migs_ba	MIXS:0000091	A related resource that is referenced, cited, or otherwise associated to the sequence. 	0.9166666666666666
migs_eu	MIXS:0000091	A related resource that is referenced, cited, or otherwise associated to the sequence. 	0.9166666666666666
migs_org	MIXS:0000091	A related resource that is referenced, cited, or otherwise associated to the sequence. 	0.9166666666666666
migs_pl	MIXS:0000091	A related resource that is referenced, cited, or otherwise associated to the sequence. 	0.9166666666666666
migs_vi	MIXS:0000091	A related resource that is referenced, cited, or otherwise associated to the sequence. 	0.9166666666666666
mimag	MIXS:0000091	A related resource that is referenced, cited, or otherwise associated to the sequence. 	0.9166666666666666
mimarks_c	MIXS:0000091	A related resource that is referenced, cited, or otherwise associated to the sequence. 	0.9166666666666666
mimarks_s	MIXS:0000091	A related resource that is referenced, cited, or otherwise associated to the sequence. 	0.9166666666666666
mims	MIXS:0000091	A related resource that is referenced, cited, or otherwise associated to the sequence. 	0.9166666666666666
misag	MIXS:0000091	A related resource that is referenced, cited, or otherwise associated to the sequence. 	0.9166666666666666
miuvig	MIXS:0000091	A related resource that is referenced, cited, or otherwise associated to the sequence. 	0.9166666666666666
migs_ba	MIXS:0000092	Name of the project within which the sequencing was organized	0.3333333333333333
migs_eu	MIXS:0000092	Name of the project within which the sequencing was organized	0.3333333333333333
migs_org	MIXS:0000092	Name of the project within which the sequencing was organized	0.3333333333333333
migs_pl	MIXS:0000092	Name of the project within which the sequencing was organized	0.3333333333333333
migs_vi	MIXS:0000092	Name of the project within which the sequencing was organized	0.3333333333333333
mimag	MIXS:0000092	Name of the project within which the sequencing was organized	0.3333333333333333
mimarks_c	MIXS:0000092	Name of the project within which the sequencing was organized	0.3333333333333333
mimarks_s	MIXS:0000092	Name of the project within which the sequencing was organized	0.3333333333333333
mims	MIXS:0000092	Name of the project within which the sequencing was organized	0.3333333333333333
misag	MIXS:0000092	Name of the project within which the sequencing was organized	0.3333333333333333
miuvig	MIXS:0000092	Name of the project within which the sequencing was organized	0.3333333333333333
air	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
built environment	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
food-animal and animal feed	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
food-farm environment	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
food-food production facility	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
food-human foods	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
host-associated	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
human-associated	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
human-gut	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
human-oral	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
human-skin	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
human-vaginal	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
hydrocarbon resources-cores	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
hydrocarbon resources-fluids/swabs	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
microbial mat/biofilm	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
miscellaneous natural or artificial environment	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
plant-associated	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
sediment	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
soil	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
symbiont-associated	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
wastewater/sludge	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
water	MIXS:0000092	Name of the project within which the sequencing was organized.	0.6666666666666666
air	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	0.4090909090909091
host-associated	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	0.4090909090909091
hydrocarbon resources-cores	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	0.4090909090909091
microbial mat/biofilm	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	0.4090909090909091
miscellaneous natural or artificial environment	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	0.4090909090909091
plant-associated	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	0.4090909090909091
sediment	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	0.4090909090909091
soil	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	0.4090909090909091
water	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit	0.4090909090909091
agriculture	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	0.5909090909090909
migs_ba	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	0.5909090909090909
migs_eu	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	0.5909090909090909
migs_org	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	0.5909090909090909
migs_pl	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	0.5909090909090909
migs_vi	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	0.5909090909090909
mimag	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	0.5909090909090909
mimarks_c	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	0.5909090909090909
mimarks_s	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	0.5909090909090909
mims	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	0.5909090909090909
misag	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	0.5909090909090909
miuvig	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	0.5909090909090909
symbiont-associated	MIXS:0000093	Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit.	0.5909090909090909
air	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	0.8
migs_ba	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	0.8
migs_eu	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	0.8
migs_org	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	0.8
migs_pl	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	0.8
migs_vi	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	0.8
mimag	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	0.8
mimarks_c	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	0.8
mimarks_s	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	0.8
mims	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	0.8
misag	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	0.8
miuvig	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	0.8
symbiont-associated	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air.	0.06666666666666667
host-associated	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth’s surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	0.13333333333333333
miscellaneous natural or artificial environment	MIXS:0000094	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth’s surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	0.13333333333333333
air	MIXS:0000100	Amount of water vapour in the air, at the time of sampling	0.3333333333333333
agriculture	MIXS:0000100	Amount of water vapour in the air, at the time of sampling.	0.6666666666666666
food-farm environment	MIXS:0000100	Amount of water vapour in the air, at the time of sampling.	0.6666666666666666
agriculture	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
air	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
built environment	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
host-associated	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
human-associated	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
human-gut	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
human-oral	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
human-skin	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
human-vaginal	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
hydrocarbon resources-cores	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
hydrocarbon resources-fluids/swabs	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
microbial mat/biofilm	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
miscellaneous natural or artificial environment	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
plant-associated	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
sediment	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
wastewater/sludge	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
water	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	0.7727272727272727
symbiont-associated	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr).	0.045454545454545456
food-animal and animal feed	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qPCR).	0.18181818181818182
food-farm environment	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qPCR).	0.18181818181818182
food-food production facility	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qPCR).	0.18181818181818182
food-human foods	MIXS:0000103	Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qPCR).	0.18181818181818182
air	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
host-associated	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
human-associated	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
human-gut	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
human-oral	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
human-skin	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
human-vaginal	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
hydrocarbon resources-cores	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
hydrocarbon resources-fluids/swabs	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
microbial mat/biofilm	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
miscellaneous natural or artificial environment	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
plant-associated	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
sediment	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
wastewater/sludge	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
water	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius	0.7142857142857143
agriculture	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius.	0.2857142857142857
food-animal and animal feed	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius.	0.2857142857142857
food-farm environment	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius.	0.2857142857142857
food-food production facility	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius.	0.2857142857142857
food-human foods	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius.	0.2857142857142857
symbiont-associated	MIXS:0000110	Temperature at which sample was stored, e.g. -80 degree Celsius.	0.2857142857142857
agriculture	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
air	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
food-animal and animal feed	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
food-farm environment	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
food-food production facility	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
food-human foods	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
host-associated	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
human-associated	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
human-gut	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
human-oral	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
human-skin	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
human-vaginal	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
hydrocarbon resources-cores	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
hydrocarbon resources-fluids/swabs	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
microbial mat/biofilm	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
migs_ba	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
migs_eu	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
migs_org	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
migs_pl	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
migs_vi	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
mimag	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
mimarks_c	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
mimarks_s	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
mims	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
misag	MIXS:0000111	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).	0.9696969696969697
